,WKT,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,ENDO,COAST,ORDER,SORT,PFAF_1,PFAF_2,PFAF_3,PFAF_4,PFAF_5,PFAF_6,PFAF_7,PFAF_8,PFAF_9,PFAF_10,PFAF_11,PFAF_12
847,"MULTIPOLYGON (((7.41666666666669 47.4458333333334,7.41310933430992 47.4467463175456,7.4119327121311 47.4759880913629,7.4244327121311 47.4894561767578,7.42556728786895 47.4938771565756,7.43276604546444 47.5019561767578,7.43333333333336 47.5125,7.44825778537329 47.5121466742622,7.45245361328128 47.5079800075955,7.46492445203996 47.5086866590712,7.46840888129343 47.5121466742622,7.47742445203996 47.5128533257379,7.48090888129343 47.5163133409289,7.48992445203996 47.5170199924045,7.49340888129343 47.5204800075955,7.49583333333336 47.5208333333334,7.49804382324221 47.5202660454644,7.50342000325524 47.5160993787978,7.52398851182729 47.517288547092,7.54109937879777 47.5352895100912,7.54223395453562 47.5397104899089,7.54526604546444 47.5436228434245,7.54653625488284 47.5532374064128,7.55612284342451 47.5619327121311,7.56164923773874 47.5633509318034,7.56346774631079 47.5704374525282,7.56862284342451 47.5744327121311,7.57721048990888 47.575567287869,7.58112284342451 47.5785993787978,7.58333333333336 47.5791666666667,7.5875 47.5791666666667,7.59081590440541 47.5783157348633,7.5916666666667 47.575,7.59202473958336 47.5725431654189,7.5975755479601 47.5670199924045,7.6166666666667 47.5666666666667,7.6166666666667 47.5583333333334,7.62083333333336 47.5583333333334,7.62168409559465 47.5550175984701,7.62831590440541 47.5533157348633,7.62916666666669 47.55,7.62278951009117 47.550567287869,7.61780395507815 47.5544313218859,7.6166666666667 47.55,7.61453179253475 47.5493572658963,7.60915391710072 47.5455440945096,7.60755852593319 47.5299058702257,7.5882748074002 47.5284274631077,7.5868570963542 47.5145316229926,7.57901679144968 47.505376010471,7.57179768880211 47.5032024807401,7.57019042968753 47.497864956326,7.55897623697919 47.4854683770074,7.55764838324656 47.4638475206163,7.55384487575958 47.4618572658963,7.5479166666667 47.4660605536567,7.54380154079864 47.4631427341038,7.51666666666669 47.4625,7.5100755479601 47.4621466742622,7.50659111870663 47.4586866590712,7.47674221462676 47.4579800075955,7.47325778537329 47.4545199924045,7.46840888129343 47.4538133409288,7.46492445203996 47.4503533257379,7.46078694661461 47.4496466742622,7.45625 47.454152086046,7.45242445203996 47.4503533257379,7.4475755479601 47.4496466742622,7.44409111870663 47.4461866590712,7.43090888129343 47.4454800075955,7.42742445203996 47.4420199924045,7.42328694661461 47.4413133409289,7.41909111870662 47.4454800075955,7.41666666666669 47.4458333333334)))",2000492760,2001159680,2000023010,2000023010,885.4,885.4,101.2,35689.9,0,0,1,33826,2,23,232,2326,23267,232670,2326709,23267093,232670930,2326709300,23267093000,232670930000
850,"MULTIPOLYGON (((7.6625 47.4916666666667,7.65612284342451 47.4922339545356,7.64804382324222 47.4994327121311,7.64234042697486 47.5008963690864,7.64109937879777 47.5132466634115,7.64526604546444 47.5186228434245,7.64640062120229 47.5404517279731,7.63945617675784 47.5422339545356,7.63554382324222 47.5452660454644,7.63001742892798 47.5466842651367,7.62916666666669 47.55,7.62831590440541 47.5533157348633,7.62168409559465 47.5550175984701,7.62083333333336 47.5583333333334,7.6166666666667 47.5583333333334,7.6166666666667 47.5666666666667,7.63159111870663 47.5670199924045,7.63578694661461 47.5711866590712,7.65242445203996 47.5704800075955,7.65662027994795 47.5663133409289,7.66909111870663 47.5670199924045,7.6725755479601 47.5704800075955,7.68159111870663 47.5711866590712,7.6850755479601 47.5746466742622,7.70833333333336 47.575,7.71276448567711 47.5738628811307,7.70880194769968 47.56875,7.71193271213111 47.5647104899089,7.71306728786895 47.5602895100912,7.71609937879777 47.5563771565756,7.7166666666667 47.5416666666667,7.72083333333336 47.5416666666667,7.72083333333336 47.5375,7.71751742892798 47.5366490681966,7.7166666666667 47.5333333333334,7.71445617675784 47.5327660454644,7.70896606445315 47.5281875610352,7.70769551595055 47.5092390272353,7.70195617675784 47.5077660454644,7.69804382324222 47.5047339545356,7.69362284342451 47.5035993787978,7.68971048990888 47.500567287869,7.67695617675784 47.4994327121311,7.67304382324222 47.4964006212023,7.66862284342451 47.4952660454644,7.66471048990888 47.4922339545356,7.6625 47.4916666666667)))",2000493350,2000492760,2000023010,2000023010,890.1,890.1,45.4,34667.4,0,0,1,33829,2,23,232,2326,23267,232670,2326709,23267095,232670950,2326709500,23267095000,232670950000
851,"MULTIPOLYGON (((7.5291666666667 47.4416666666667,7.52881334092885 47.4440911187066,7.51701999240454 47.4559088812934,7.51666666666669 47.4625,7.54380154079864 47.4631427341038,7.5479166666667 47.4660605536567,7.55384487575958 47.4618572658963,7.55764838324656 47.4638475206163,7.55897623697919 47.4854683770074,7.57019042968753 47.497864956326,7.57179768880211 47.5032024807401,7.57901679144968 47.505376010471,7.5868570963542 47.5145316229926,7.5882748074002 47.5284274631077,7.60755852593319 47.5299058702257,7.60915391710072 47.5455440945096,7.61453179253475 47.5493572658963,7.6166666666667 47.55,7.61780395507815 47.5544313218859,7.62278951009117 47.550567287869,7.62916666666669 47.55,7.63001742892798 47.5466842651367,7.63554382324222 47.5452660454644,7.63945617675784 47.5422339545356,7.64640062120229 47.5404517279731,7.64526604546444 47.5186228434245,7.64109937879777 47.5132466634115,7.64234042697486 47.5008963690864,7.64804382324222 47.4994327121311,7.65612284342451 47.4922339545356,7.6625 47.4916666666667,7.66314290364586 47.472864956326,7.66659138997399 47.4680011325413,7.65630154079864 47.4589760674371,7.6493570963542 47.4568852742513,7.65076565212676 47.4424385918512,7.66563652886288 47.4409216986762,7.66730957031253 47.435364956326,7.67019042968753 47.4313017103407,7.67179768880211 47.4259641859267,7.67980957031253 47.423551940918,7.67840745713979 47.4091700236003,7.66688605414499 47.4074144151476,7.66314290364586 47.4021350436741,7.6618570963542 47.385364956326,7.6589762369792 47.3813017103407,7.65833333333336 47.3791666666667,7.64786512586808 47.3798094007704,7.64380154079864 47.3826905992296,7.62884487575958 47.3839760674371,7.62296820746531 47.3798094007704,7.61869845920142 47.378523932563,7.61046820746531 47.3714760674371,7.60801154242624 47.3701905992296,7.60213487413197 47.3743572658963,7.58953179253475 47.3756427341038,7.58546820746531 47.378523932563,7.57596774631079 47.3799716525608,7.57435709635419 47.386051940918,7.58208753797746 47.3883794148763,7.5839762369792 47.3919884575738,7.57980957031253 47.397864956326,7.57852376302086 47.4021350436741,7.57478061252173 47.4074144151476,7.56453179253475 47.4089760674371,7.55915391710072 47.4127892388238,7.55755683051218 47.4284467909071,7.53536512586808 47.4298094007704,7.53042839898006 47.4333097669814,7.5291666666667 47.4375,7.5291666666667 47.4416666666667)))",2000493740,2000492760,2000023010,2000023010,890.1,890.1,130.5,921.3,0,0,2,33830,2,23,232,2326,23267,232670,2326709,23267094,232670941,2326709411,23267094110,232670941100
858,"MULTIPOLYGON (((7.7666666666667 47.4875,7.76577928331166 47.4909581502279,7.75505405002173 47.4923751831055,7.75331590440541 47.4991490681966,7.74778951009118 47.500567287869,7.74263441297746 47.5045625474718,7.74081590440541 47.5116490681966,7.73418409559465 47.5133509318034,7.73276604546444 47.5188771565755,7.72556728786895 47.5269561767578,7.72429165310333 47.536612616645,7.72083333333336 47.5375,7.72083333333336 47.5416666666667,7.7166666666667 47.5416666666667,7.71609937879777 47.5563771565756,7.71306728786895 47.5602895100912,7.71193271213111 47.5647104899089,7.70880194769968 47.56875,7.71276448567711 47.5738628811307,7.70833333333336 47.575,7.70776604546444 47.5897104899089,7.70056728786895 47.5977895100912,7.69943271213111 47.6029517279731,7.70637715657555 47.6047339545356,7.71028951009118 47.6077660454644,7.72304382324222 47.6089006212023,7.72819892035593 47.6128958808052,7.73005405002173 47.6201248168946,7.73971048990888 47.6214006212023,7.74362284342451 47.6244327121311,7.76128506130645 47.625567287869,7.76338094075524 47.6174007839627,7.771770562066 47.6160993787978,7.78112284342451 47.6244327121311,7.78407999674482 47.625567287869,7.78958333333336 47.6213021172418,7.79362284342451 47.6244327121311,7.79914923773875 47.6258509318034,7.8 47.6291666666667,7.83159111870663 47.6295199924045,7.8350755479601 47.6329800075955,7.84409111870663 47.6336866590712,7.8475755479601 47.6371466742622,7.8625 47.6375,7.86985236273875 47.6368459065756,7.88693271213111 47.6188771565756,7.88835076226132 47.6133509318034,7.89525044759118 47.6115802341038,7.90359937879777 47.6022104899089,7.9041666666667 47.5791666666667,7.9041666666667 47.575,7.90174221462677 47.5746466742622,7.89825778537329 47.5711866590712,7.88090888129343 47.5704800075955,7.87535502115889 47.5649537828234,7.87464667426218 47.5524507310656,7.88504706488718 47.5420221964519,7.89409111870663 47.5413133409289,7.8975755479601 47.5378533257379,7.90659111870663 47.5371466742622,7.91424221462677 47.5295199924045,7.91909111870663 47.5288133409288,7.93090888129343 47.5170199924045,7.9357577853733 47.5163133409289,7.93924221462677 47.5128533257379,7.9482577853733 47.5121466742622,7.95381232367625 47.5066197713216,7.9541666666667 47.4958333333334,7.95070834689673 47.4949459499783,7.94929165310333 47.4842207166884,7.94583333333336 47.4833333333334,7.9395192464193 47.4827031453451,7.93548075358076 47.479796854655,7.92460361056861 47.4785364786784,7.91881408691409 47.4827031453451,7.91035257975263 47.4839635213216,7.90631408691409 47.4868698120117,7.90119900173614 47.4883707682292,7.89936964246965 47.492062886556,7.90443759494361 47.4991044786242,7.89127027723527 47.5006301879883,7.88548075358076 47.4964635213216,7.8770192464193 47.4952031453451,7.87298075358076 47.492296854655,7.86210361056861 47.4910364786784,7.85631408691409 47.4952031453451,7.84920552571618 47.4964635213216,7.83125813802086 47.479744635688,7.82714742024743 47.4827031453451,7.8145192464193 47.4839635213216,7.81048075358076 47.4868698120117,7.7666666666667 47.4875)))",2000493940,2000493350,2000023010,2000023010,899.5,899.5,214.9,34338.3,0,0,1,33837,2,23,232,2326,23267,232670,2326709,23267097,232670970,2326709701,23267097010,232670970100
859,"MULTIPOLYGON (((7.7166666666667 47.5333333333334,7.71751742892798 47.5366490681966,7.72083333333336 47.5375,7.72429165310333 47.536612616645,7.72556728786895 47.5269561767578,7.73276604546444 47.5188771565755,7.73418409559465 47.5133509318034,7.74081590440541 47.5116490681966,7.74263441297746 47.5045625474718,7.74778951009118 47.500567287869,7.75331590440541 47.4991490681966,7.75505405002173 47.4923751831055,7.76577928331166 47.4909581502279,7.7666666666667 47.4875,7.76701999240454 47.4850755479601,7.77048000759552 47.4815911187066,7.77083333333336 47.4708333333334,7.77026604546444 47.4602895100912,7.76640218098961 47.4553037855361,7.77304382324222 47.4535993787978,7.78112284342451 47.4464006212023,7.78664923773874 47.44498240153,7.78806728786895 47.4394561767578,7.79223395453562 47.4340799967448,7.79109937879777 47.4269561767578,7.78796183268232 47.4229078504775,7.79526604546444 47.4147104899089,7.79640062120229 47.4102895100912,7.80056728786895 47.4049133300782,7.79926317003041 47.3967258029514,7.79387715657555 47.3922339545356,7.78693271213111 47.3904517279731,7.78806728786895 47.3811228434245,7.79109937879777 47.3772104899089,7.7916666666667 47.375,7.77278951009118 47.3744327121311,7.76667989095055 47.369337632921,7.77026604546444 47.3647104899089,7.77140062120229 47.3615627712674,7.76306728786895 47.3522104899089,7.76164923773875 47.3466842651368,7.75612284342451 47.3452660454644,7.75221048990888 47.3422339545356,7.74704827202694 47.3410993787978,7.74526604546444 47.3480438232422,7.74223395453562 47.3519561767578,7.74081590440541 47.35748240153,7.73528951009118 47.3589006212023,7.7259195963542 47.3672495524089,7.72410346137156 47.3743262396919,7.71175333658857 47.375567287869,7.70637715657555 47.3714006212023,7.6791666666667 47.3708333333334,7.67826707628041 47.3743387858073,7.66445617675784 47.375567287869,7.66054382324222 47.3785993787978,7.65833333333336 47.3791666666667,7.6589762369792 47.3813017103407,7.6618570963542 47.385364956326,7.66314290364586 47.4021350436741,7.66688605414499 47.4074144151476,7.67840745713979 47.4091700236003,7.67980957031253 47.423551940918,7.67179768880211 47.4259641859267,7.67019042968753 47.4313017103407,7.66730957031253 47.435364956326,7.66563652886288 47.4409216986762,7.65076565212676 47.4424385918512,7.6493570963542 47.4568852742513,7.65630154079864 47.4589760674371,7.66659138997399 47.4680011325413,7.66314290364586 47.472864956326,7.6625 47.4916666666667,7.66471048990888 47.4922339545356,7.66862284342451 47.4952660454644,7.67304382324222 47.4964006212023,7.67695617675784 47.4994327121311,7.68971048990888 47.500567287869,7.69362284342451 47.5035993787978,7.69804382324222 47.5047339545356,7.70195617675784 47.5077660454644,7.70769551595055 47.5092390272353,7.70896606445315 47.5281875610352,7.71445617675784 47.5327660454644,7.7166666666667 47.5333333333334)))",2000494250,2000493350,2000023010,2000023010,899.5,899.5,140.3,283.6,0,0,2,33838,2,23,232,2326,23267,232670,2326709,23267096,232670960,2326709601,23267096010,232670960100
865,"MULTIPOLYGON (((7.7916666666667 47.375,7.79109937879777 47.3772104899089,7.78806728786895 47.3811228434245,7.78693271213111 47.3904517279731,7.79387715657555 47.3922339545356,7.79926317003041 47.3967258029514,7.80056728786895 47.4049133300782,7.79640062120229 47.4102895100912,7.79526604546444 47.4147104899089,7.78796183268232 47.4229078504775,7.79109937879777 47.4269561767578,7.79223395453562 47.4340799967448,7.78806728786895 47.4394561767578,7.78664923773874 47.44498240153,7.78112284342451 47.4464006212023,7.77304382324222 47.4535993787978,7.76640218098961 47.4553037855361,7.77026604546444 47.4602895100912,7.77083333333336 47.4708333333334,7.77048000759552 47.4815911187066,7.76701999240454 47.4850755479601,7.7666666666667 47.4875,7.81048075358076 47.4868698120117,7.8145192464193 47.4839635213216,7.82714742024743 47.4827031453451,7.83125813802086 47.479744635688,7.84920552571618 47.4964635213216,7.85631408691409 47.4952031453451,7.86210361056861 47.4910364786784,7.87298075358076 47.492296854655,7.8770192464193 47.4952031453451,7.88548075358076 47.4964635213216,7.89127027723527 47.5006301879883,7.90443759494361 47.4991044786242,7.89936964246965 47.492062886556,7.90119900173614 47.4883707682292,7.90631408691409 47.4868698120117,7.91035257975263 47.4839635213216,7.91881408691409 47.4827031453451,7.92460361056861 47.4785364786784,7.93548075358076 47.479796854655,7.9395192464193 47.4827031453451,7.94583333333336 47.4833333333334,7.94526604546444 47.4769561767578,7.94109937879777 47.4715799967448,7.94231126573354 47.4550704956055,7.94936218261722 47.4532609727648,7.95056728786895 47.4352895100912,7.95776604546444 47.4272104899089,7.95833333333337 47.425,7.95833333333337 47.4208333333334,7.93831414116755 47.4201765272353,7.93673180474177 47.4093049791124,7.9311731974284 47.4077156914605,7.92716013590496 47.4047843085395,7.92283986409507 47.4035490247939,7.91882680257163 47.4006176418729,7.91450653076173 47.3993823581272,7.8979934692383 47.3839509752062,7.89583333333335 47.3833333333334,7.88924221462675 47.3836866590712,7.88541666666668 47.3874854193794,7.88159111870661 47.3836866590712,7.86840888129342 47.3829800075955,7.86492445203995 47.3795199924045,7.84340888129342 47.3788133409289,7.83369106716581 47.3691218058269,7.83333333333336 47.3666666666667,7.8225755479601 47.3663133409288,7.81909111870663 47.3628533257379,7.80245056152347 47.3621466742622,7.79202440049916 47.3725448608399,7.7916666666667 47.375)))",2001161410,2000494250,2000023010,2000023010,909.0,909.0,143.1,143.2,0,0,2,33844,2,23,232,2326,23267,232670,2326709,23267096,232670960,2326709602,23267096020,232670960200
866,"MULTIPOLYGON (((7.35833333333336 47.3708333333334,7.35833333333336 47.375,7.35590888129343 47.3753533257379,7.34825778537329 47.3829800075955,7.33924221462676 47.3836866590712,7.33575778537329 47.3871466742622,7.31495361328128 47.3878533257379,7.31075778537329 47.3836866590712,7.26912027994794 47.3829800075955,7.26492445203996 47.3871466742622,7.22916666666669 47.3875,7.22859937879777 47.3897104899089,7.22556728786895 47.3936228434245,7.2244327121311 47.4009372287327,7.23276604546444 47.4102895100912,7.23390062120228 47.4147104899089,7.2369327121311 47.4186228434245,7.23806728786895 47.4230438232422,7.24109937879777 47.4269561767578,7.24223395453562 47.4362850613065,7.2375 47.4375,7.23839959038631 47.441005452474,7.24583333333336 47.4416666666667,7.24825778537329 47.4420199924045,7.25590888129343 47.4496466742622,7.275 47.45,7.27916666666669 47.45,7.31471048990888 47.450567287869,7.3186228434245 47.4535993787978,7.33824666341148 47.4547339545356,7.34362284342451 47.450567287869,7.35637715657555 47.4494327121311,7.36028951009117 47.4464006212023,7.38137715657555 47.4452660454644,7.38528951009117 47.4422339545356,7.39804382324221 47.4410993787978,7.40208333333336 47.4379687839085,7.40612284342451 47.4410993787978,7.41577928331166 47.4423751831055,7.41666666666669 47.4458333333334,7.41909111870662 47.4454800075955,7.42328694661461 47.4413133409289,7.42742445203996 47.4420199924045,7.43090888129343 47.4454800075955,7.44409111870663 47.4461866590712,7.4475755479601 47.4496466742622,7.45242445203996 47.4503533257379,7.45625 47.454152086046,7.46078694661461 47.4496466742622,7.46492445203996 47.4503533257379,7.46840888129343 47.4538133409288,7.47325778537329 47.4545199924045,7.47674221462676 47.4579800075955,7.50659111870663 47.4586866590712,7.5100755479601 47.4621466742622,7.51666666666669 47.4625,7.51701999240454 47.4559088812934,7.52881334092885 47.4440911187066,7.5291666666667 47.4416666666667,7.5291666666667 47.4375,7.53042839898006 47.4333097669814,7.53536512586808 47.4298094007704,7.55755683051218 47.4284467909071,7.55915391710072 47.4127892388238,7.56453179253475 47.4089760674371,7.57478061252173 47.4074144151476,7.57852376302086 47.4021350436741,7.57980957031253 47.397864956326,7.5839762369792 47.3919884575738,7.58208753797746 47.3883794148763,7.57435709635419 47.386051940918,7.57596774631079 47.3799716525608,7.58546820746531 47.378523932563,7.58953179253475 47.3756427341038,7.60213487413197 47.3743572658963,7.60801154242624 47.3701905992296,7.61046820746531 47.3714760674371,7.61869845920142 47.378523932563,7.62296820746531 47.3798094007704,7.62884487575958 47.3839760674371,7.64380154079864 47.3826905992296,7.64786512586808 47.3798094007704,7.65833333333336 47.3791666666667,7.66054382324222 47.3785993787978,7.66445617675784 47.375567287869,7.67826707628041 47.3743387858073,7.6791666666667 47.3708333333334,7.67827928331166 47.3673751831055,7.66862284342451 47.3660993787978,7.66471048990888 47.363067287869,7.65612284342451 47.3619327121311,7.65221048990888 47.3589006212023,7.63528951009117 47.3577660454644,7.63137715657555 47.3547339545356,7.61862284342451 47.3535993787978,7.60637715657555 47.3422339545356,7.5791666666667 47.3416666666667,7.56445617675784 47.3422339545356,7.56054382324222 47.3452660454644,7.54362284342451 47.3464006212023,7.53846774631079 47.3503958808052,7.53664923773874 47.35748240153,7.53112284342451 47.3589006212023,7.52175292968753 47.3672495524089,7.5196960449219 47.3752646552192,7.51471048990888 47.3714006212023,7.4575866699219 47.3702660454644,7.45221048990888 47.3744327121311,7.44778951009117 47.375567287869,7.44387715657555 47.3785993787978,7.43675333658857 47.3797339545356,7.43137715657555 47.375567287869,7.42425333658857 47.3744327121311,7.41887715657555 47.3785993787978,7.38945617675784 47.3797339545356,7.38541666666669 47.3828645494249,7.38137715657555 47.3797339545356,7.36756625705298 47.378505452474,7.36581590440541 47.3716842651368,7.3625 47.3708333333334,7.3625 47.3666666666667,7.36164923773874 47.3633509318034,7.35833333333336 47.3625,7.35833333333336 47.3708333333334)))",2001161800,2000493740,2000023010,2000023010,910.4,910.4,226.0,791.0,0,0,2,33845,2,23,232,2326,23267,232670,2326709,23267094,232670941,2326709412,23267094120,232670941200
867,"MULTIPOLYGON (((7.97083333333337 47.7583333333334,7.97118665907121 47.7607577853733,7.97671339246965 47.7663124932184,7.9982577853733 47.7670199924045,8.00380859375003 47.7725431654189,8.0041666666667 47.775,8.01495090060765 47.7746458265517,8.02881334092883 47.7607577853733,8.02951999240453 47.7559088812934,8.0336866590712 47.7517128838433,8.0329800075955 47.7475755479601,8.0211866590712 47.7357577853733,8.0204800075955 47.7267422146268,8.01701999240453 47.7232577853733,8.01631334092884 47.7142422146268,8.01251458062067 47.7104166666667,8.01631334092884 47.7065911187066,8.0166666666667 47.7,8.01445617675784 47.6994327121311,8.01054382324222 47.6964006212023,8.00612284342451 47.6952660454644,8.0009677463108 47.6912707858616,7.99910040961375 47.6839945475261,7.98528951009118 47.6827660454644,7.97721048990889 47.675567287869,7.97278951009118 47.6744327121311,7.96733500162764 47.6698840671116,7.96609937879778 47.6575866699219,7.97037387424048 47.6520714653863,7.95740017361114 47.6382024129232,7.94778951009118 47.6369327121311,7.94285922580298 47.6331115722657,7.94109937879777 47.6282294379341,7.94943271213111 47.6188771565756,7.95 47.6083333333334,7.94930216471357 47.5924455430773,7.93536512586809 47.591023932563,7.93130154079864 47.5881427341038,7.92286512586809 47.5868572658963,7.91880154079864 47.5839760674371,7.91453179253475 47.5826905992296,7.91046820746531 47.5798094007704,7.90833333333336 47.5791666666667,7.9041666666667 47.5791666666667,7.90359937879777 47.6022104899089,7.89525044759118 47.6115802341038,7.88835076226132 47.6133509318034,7.88693271213111 47.6188771565756,7.86985236273875 47.6368459065756,7.8625 47.6375,7.86306728786895 47.6563771565756,7.86706271701392 47.6615322536893,7.87304382324222 47.663067287869,7.87695617675784 47.6660993787978,7.88137715657555 47.6672339545356,7.88686726888024 47.6718124389649,7.88806728786895 47.6897104899089,7.89206271701392 47.6948655870226,7.89804382324222 47.6964006212023,7.91028951009118 47.7077660454644,7.91887715657555 47.7089006212023,7.92278951009118 47.7119327121311,7.93137715657555 47.713067287869,7.93528951009118 47.7160993787978,7.93971048990888 47.7172339545356,7.94362284342451 47.7202660454644,7.94914923773875 47.7216842651368,7.95089959038632 47.728505452474,7.96576707628041 47.7298278808594,7.96751742892798 47.7366490681966,7.97426113552521 47.7383797539605,7.97556728786896 47.7465799967448,7.97140062120229 47.7519561767578,7.97083333333337 47.7583333333334)))",2000492560,2000493940,2000023010,2000023010,918.0,918.0,115.7,115.8,0,0,2,33846,2,23,232,2326,23267,232670,2326709,23267097,232670970,2326709702,23267097020,232670970200
868,"MULTIPOLYGON (((7.9541666666667 47.4958333333334,7.95381232367625 47.5066197713216,7.9482577853733 47.5121466742622,7.93924221462677 47.5128533257379,7.9357577853733 47.5163133409289,7.93090888129343 47.5170199924045,7.91909111870663 47.5288133409288,7.91424221462677 47.5295199924045,7.90659111870663 47.5371466742622,7.8975755479601 47.5378533257379,7.89409111870663 47.5413133409289,7.88504706488718 47.5420221964519,7.87464667426218 47.5524507310656,7.87535502115889 47.5649537828234,7.88090888129343 47.5704800075955,7.89825778537329 47.5711866590712,7.90174221462677 47.5746466742622,7.9041666666667 47.575,7.9041666666667 47.5791666666667,7.90833333333336 47.5791666666667,7.91046820746531 47.5798094007704,7.91453179253475 47.5826905992296,7.91880154079864 47.5839760674371,7.92286512586809 47.5868572658963,7.93130154079864 47.5881427341038,7.93536512586809 47.591023932563,7.94930216471357 47.5924455430773,7.95 47.6083333333334,7.95212232801652 47.6076778835721,7.95621100531687 47.604822116428,7.9615169949002 47.6031836615669,7.96381496853302 47.5957421196832,7.96871100531687 47.592322116428,7.98682081434465 47.590904405382,7.9875 47.5541666666667,7.98333333333336 47.5541666666667,7.98333333333336 47.55,7.97980448404951 47.5490943060981,7.97859937879777 47.5311228434245,7.97129516601566 47.5229254828559,7.97443271213111 47.5188771565755,7.97556728786896 47.5144561767578,7.97869805230038 47.5104166666667,7.97556728786896 47.5063771565756,7.97414923773875 47.5008509318034,7.96862284342451 47.4994327121311,7.96471048990889 47.4964006212023,7.9541666666667 47.4958333333334)))",2000492770,2000493940,2000023010,2000023010,918.2,918.2,57.3,34007.9,0,0,1,33847,2,23,232,2326,23267,232670,2326709,23267097,232670970,2326709703,23267097030,232670970300
876,"MULTIPOLYGON (((7.49166666666669 47.2875,7.48835076226131 47.2883509318034,7.4869327121311 47.2938771565755,7.48390062120228 47.2977895100912,7.4824147542318 47.3035788642036,7.42425333658857 47.3047339545356,7.41887715657555 47.300567287869,7.41028951009117 47.2994327121311,7.40637715657555 47.2964006212023,7.39778951009117 47.2952660454644,7.38971048990888 47.288067287869,7.37916666666669 47.2875,7.3725755479601 47.2878533257379,7.36492445203996 47.2954800075955,7.35662027994794 47.2961866590712,7.35208333333336 47.2916812472874,7.34825778537329 47.2954800075955,7.34583333333336 47.2958333333334,7.34649454752607 47.3032670762804,7.35342780219187 47.3050464206272,7.35473395453562 47.3132466634115,7.35056728786895 47.3186228434245,7.3494327121311 47.3340799967448,7.35359937879777 47.3394561767578,7.35473395453562 47.3522104899089,7.35776604546444 47.3561228434245,7.35833333333336 47.3625,7.36164923773874 47.3633509318034,7.3625 47.3666666666667,7.3625 47.3708333333334,7.36581590440541 47.3716842651368,7.36756625705298 47.378505452474,7.38137715657555 47.3797339545356,7.38541666666669 47.3828645494249,7.38945617675784 47.3797339545356,7.41887715657555 47.3785993787978,7.42425333658857 47.3744327121311,7.43137715657555 47.375567287869,7.43675333658857 47.3797339545356,7.44387715657555 47.3785993787978,7.44778951009117 47.375567287869,7.45221048990888 47.3744327121311,7.4575866699219 47.3702660454644,7.51471048990888 47.3714006212023,7.5196960449219 47.3752646552192,7.52175292968753 47.3672495524089,7.53112284342451 47.3589006212023,7.53664923773874 47.35748240153,7.53846774631079 47.3503958808052,7.54362284342451 47.3464006212023,7.56054382324222 47.3452660454644,7.56445617675784 47.3422339545356,7.5791666666667 47.3416666666667,7.57881334092885 47.3309088812934,7.57535332573788 47.32742445204,7.57464667426218 47.3225755479601,7.56701999240454 47.31492445204,7.56630859375003 47.3100431654189,7.56075778537329 47.3045199924045,7.5475755479601 47.3038133409288,7.54409111870662 47.3003533257379,7.53924221462676 47.2996466742622,7.53575778537329 47.2961866590712,7.5100755479601 47.2954800075955,7.50659111870663 47.2920199924045,7.50174221462676 47.2913133409289,7.49825778537329 47.2878533257379,7.49166666666669 47.2875)))",2000498580,2001161800,2000023010,2000023010,928.7,928.7,130.6,324.9,0,0,2,33855,2,23,232,2326,23267,232670,2326709,23267094,232670943,2326709431,23267094310,232670943100
